relName,mediaName
丹·福勒,火鸡总动员
丹·莱瑟姆,变形金刚4：绝迹重生
丹·莱瑟姆,蝙蝠侠大战超人：正义黎明
丹·莱瑟姆,分歧者：异类觉醒
丹妮丝·瓦斯奎兹,钢铁侠3
丹妮娅,变身男女
丹妮尔·布鲁克,愤怒的小鸟
丹妮尔·布鲁克,愤怒的小鸟大电影
丹妮拉·拉贝·卡布雷拉,王子与108煞
丹娜·米歇尔·格瑞尔,赤警威龙
丹尼·德维托,老雷斯的故事
丹尼·曼,冰川时代：融冰之灾
丹尼·曼,头脑特工队
丹尼·曼,小黄人大眼萌
丹尼·格洛弗,丛林有情狼
丹尼·格洛弗,2012 3D
丹尼·沃德本恩,忍者神龟：变种时代
丹尼·沃德本恩,忍者神龟2：破影而出
丹尼·特乔,非常小特工之时间大盗
丹尼·莫尼,蝙蝠侠大战超人：正义黎明
丹尼·赫斯顿,劫案迷云
丹尼·赫斯顿,诸神之怒
丹尼·赫斯顿,黄沙武士
丹尼·麦克布耐德,愤怒的小鸟
丹尼·麦克布耐德,愤怒的小鸟大电影
丹尼兹·阿克丹尼兹,屠魔战士
丹尼尔·克雷格,007：幽灵党
丹尼尔·克雷格,丁丁历险记
丹尼尔·克雷格,梦宅诡影
丹尼尔·克雷格,007：大破天幕杀机
丹尼尔·博克,21岁派对
丹尼尔·哈兰德,碟中谍5：神秘国度
丹尼尔·哈兰德,沉睡魔咒
丹尼尔·哈奈特,21岁派对
丹尼尔·布鲁赫,美国队长3
丹尼尔·布鲁赫,美国队长3：英雄内战
丹尼尔·布鲁赫,极速风流
丹尼尔·库德摩尔,X战警：逆转未来
丹尼尔·库德摩尔,暮光之城4：破晓（上）
丹尼尔·库德摩尔,魔兽
丹尼尔·戴维斯,魔比斯环3D
丹尼尔·斯特恩,危情三日
丹尼尔·梅斯,丁丁历险记
丹尼尔·梅斯,双雄
丹尼尔·海尼,超能陆战队
丹尼尔·海尼,一夜惊喜
丹尼尔·海尼,纽约客@上海
丹尼尔·纽曼,蝙蝠侠：黑暗骑士崛起
