relName,mediaName
Big Picture 2 Films ,鲨滩
Big World Pictures ,喝彩
Blitz Film & Video Distribution ,圆梦巨人
Blitz Film & Video Distribution ,吹梦巨人
Blitz Film & Video Distribution ,X战警：天启
Bloom ,绝地逃亡
Blu Cinematografica ,机械师
Bontonfilm ,速度与激情5
CBS Films ,黑衣女人
CBS Films ,机械师
CIC Vídeo ,侏罗纪公园3D
CIC-Taft Home Video ,侏罗纪公园3D
CInema Hotel Corporation (CHC) ,夺命深渊
CInema Hotel Corporation (CHC) ,危情三日
CInema Hotel Corporation (CHC) ,战略特勤组
CN Entertainment ,危情三日
CN Entertainment ,寄生兽
CN Entertainment ,非常小特工之时间大盗
CN Entertainment ,舞力对决
CP Digital ,挪威的森林
CP Media ,特警判官
CP Media ,天际浩劫
Calinos Entertainment ,幻影追凶
Capelight Pictures ,灵偶契约
Capital Cinéma ,倩女幽魂
Cascade Film ,国王的演讲
Castello Lopes Multimédia ,猩球崛起
Castello Lopes Multimédia ,纳尼亚传奇3
Castello Lopes Multimédia ,迷踪：第九鹰团
CatchPlay ,机械师
CatchPlay ,王者之剑3D
CatchPlay ,迷踪：第九鹰团
CatchPlay ,国王的演讲
CatchPlay ,赤焰战场
CatchPlay ,永无止境
CatchPlay ,在劫难逃
CatchPlay ,惊天战神
CatchPlay ,狂暴飞车
CatchPlay ,天际浩劫
CatchPlay ,女巫季节
CatchPlay ,危情三日
Cathay-Keris Films ,危情三日
Cathay-Keris Films ,红色警戒999
Cathay-Keris Films ,神战：权力之眼
Cathay-Keris Films ,最后的巫师猎人
Cathay-Keris Films ,国王的演讲
Cathay-Keris Films ,饥饿游戏
Cathay-Keris Films ,挪威的森林
Cathay-Keris Films Pte. Ltd. ,红色警戒999
Cathay-Keris Films Pte. Ltd. ,九条命
Cathay-Keris Films Pte. Ltd. ,我知女人心
Cathay-Keris Films Pte. Ltd. ,听说
Cathay-Keris Films Pte. Ltd. ,灵偶契约
Cathay-Keris Films Pte. Ltd. ,伦敦陷落
