movieName,releaseMonth,dailyBox
喜剧王,01,0.25
喜剧王,01,0.27
喜剧王,01,0.2
喜剧王,01,0.36
喜洋洋,01,0.06
喜洋洋,01,0.08
喜洋洋,01,0.03
喜洋洋,01,0.05
喜洋洋,01,1.28
喜羊羊与灰太狼之兔年顶呱呱,01,0.1
喜羊羊与灰太狼之喜气羊羊过蛇年,01,0.05
喜羊羊与灰太狼之喜气羊羊过蛇年,01,0.16
喜羊羊与灰太狼之喜气羊羊过蛇年,01,0.35
喜羊羊与灰太狼之喜气羊羊过蛇年,01,0.37
喜羊羊与灰太狼之喜气羊羊过蛇年,01,0.44
喜羊羊与灰太狼之喜气羊羊过蛇年,01,1530.59
喜羊羊与灰太狼之喜气羊羊过蛇年,01,1216.27
喜羊羊与灰太狼之喜气羊羊过蛇年,01,1970.97
喜羊羊与灰太狼之喜气羊羊过蛇年,01,1573.65
喜羊羊与灰太狼之喜气羊羊过蛇年,01,594.28
喜羊羊与灰太狼之喜气羊羊过蛇年,01,686.94
喜羊羊与灰太狼之喜气羊羊过蛇年,01,521.74
喜羊羊与灰太狼之喜气羊羊过蛇年,01,348.96
喜羊羊与灰太狼之开心闯龙年,01,1.58
喜羊羊与灰太狼之开心闯龙年,01,0.46
喜羊羊与灰太狼之开心闯龙年,01,0.81
喜羊羊与灰太狼之开心闯龙年,01,0.21
喜羊羊与灰太狼之开心闯龙年,01,0.2
喜羊羊与灰太狼之开心闯龙年,01,0.13
喜羊羊与灰太狼之开心闯龙年,01,0.13
喜羊羊与灰太狼之开心闯龙年,01,0.07
喜羊羊与灰太狼之牛气冲天,01,0.09
喜羊羊与灰太狼之牛气冲天,01,0.07
喜羊羊与灰太狼之牛气冲天,01,0.04
喜羊羊与灰太狼之牛气冲天,01,0.01
喜羊羊与灰太狼之牛气冲天,01,0.01
喜羊羊与灰太狼之牛气冲天,01,0.01
喜羊羊与灰太狼之牛气冲天,01,0.01
喜羊羊与灰太狼之牛气冲天,01,0.01
喜羊羊与灰太狼之牛气冲天,01,0.01
喜羊羊与灰太狼之牛气冲天,01,0.02
喜羊羊与灰太狼之牛气冲天,01,0.02
喜羊羊与灰太狼之牛气冲天,01,0.02
喜羊羊与灰太狼之牛气冲天,01,0.03
喜羊羊与灰太狼之羊年喜羊羊,01,1482.57
喜羊羊与灰太狼之飞马奇遇记,01,3.45
喜羊羊与灰太狼之飞马奇遇记,01,1.18
喜羊羊与灰太狼之飞马奇遇记,01,1397.67
喜羊羊与灰太狼之飞马奇遇记,01,862.16
喜羊羊与灰太狼之飞马奇遇记,01,1295.78
喜羊羊与灰太狼之飞马奇遇记,01,1079.7
喜羊羊与灰太狼之飞马奇遇记,01,416.77
喜羊羊与灰太狼之飞马奇遇记,01,441.53
喜羊羊与灰太狼之飞马奇遇记,01,467.41
喜羊羊与灰太狼之飞马奇遇记,01,376.55
