relName,mediaName
吴琦,柳如是
吴琴,从哪来，到哪去
吴耀权,大兵金宝历险记
吴耀权,地域无门
吴胜允,鸡妈鸭仔
吴钦,我不是贼
吴飞跃,我的诗篇
周三省,欲望森林
周伟,李可乐寻人记
周伟,横山号
周伟,擦枪走火
周伟,琴动我心
周军,我的处女地
周军,阿拉尔·我和你
周勇,孝女彩金
周可,保持沉默
周君,不爱不散
周彬,我叫MT之山口山战记
周彬,我叫哀木涕之山口山战记
周拓如,致青春·原来你还在这里
周文武贝,绝命航班
周文武贝,蒸发太平洋
周旭,岁月无声
周星驰,西游降魔篇
周星驰,功夫
周星驰,美人鱼
周显扬,黄飞鸿之英雄有梦
周显扬,大追捕
周晓文,百合
周晓鹏,催命符
周晓鹏,风口青春
周智勇,恋爱教父之三个“坏”家伙
周杰伦,天台爱情
周格泰,十七岁
周楠,我们约会吧
周炜,成成烽火之投笔从戎
周玉鹏,母亲的飞机场
周琦,通道转兵
周琦,幸福中转栈
周琦,受降前夕
周琦,湘南起义
周看,公路美人
周美玲,花漾
周耀武,惊魂游戏
周耀武,三更车库
周耀武,凶间雪山
周艺华,断片儿
周重阳,欲望森林
周阁,别开门
和小江,渡江！渡江！
咸旭初,怪谈
咸旭初,致命闪玩
哈磊,金箍棒传奇
哈磊,金箍棒传奇2
哈罗德·兹瓦特,圣杯神器：骸骨之城
唐·霍尔,超能陆战队
唐丹,秘密花园
唐丹,爱封了
唐伟成,夜郎侠之一路危途
唐六一,国土资源局长
唐妍,我与拉拉
唐文湘,201413爱你一世一生
唐旭,换爱七日
唐昱,喜剧王
唐永康,在雨中
唐澄,大闹天宫（动画版）
唐高鹏,未择之路
喻瀚湫,我们毕业的夏天
喻瀚湫,荒岛情未了
土井裕泰,垫底辣妹
坂本浩一,宇宙英雄之超银河传说
埃兰·克里维,双雄
埃里克·斯泰尔斯,史前怪兽
埃里克·达尼尔,马达加斯加的企鹅
埃里克·达尼尔,马达加斯加3
埃里克森·科尔,极盗者
基努·里维斯,太极侠
基智,湖杀令
塔西姆·辛,幻体：续命游戏
塔西姆·辛,白雪公主之魔镜魔镜
塔西姆·辛,惊天战神
塔韦华·温泰,索命暹罗之按摩师
塞德里克·萨科,猎神：冬日之战
夏伟,纽约客@上海
夏刚,权力有限
夏咏,无间罪：僵尸重生
夏永康,全球热恋
多米尼克·塞纳,女巫季节
大卫·o·拉塞尔,美国骗局
大卫·凯普,贵族大盗
大卫·叶茨,泰山归来：人猿大战
大卫·叶茨,泰山归来：险战丛林
大卫·叶茨,哈利·波特与死亡圣器(下)
大卫·斯托滕,托马斯和朋友们多多岛之迷失宝藏
大卫·洛维,彼得的龙
大卫·索伦,极速蜗牛
大卫·阿耶,破坏者
大卫·阿耶,狂怒
大卫·阿耶,X特遣队
大卫·雷,大统一理论
大飞,深情约定
大飞,乡间童谣
奉俊昊,雪国列车
奥利维埃·达昂,摩纳哥王妃
奥利维尔·米加顿,致命黑兰
姚光华,黑猫警长之翡翠之星
姚光华,犹太女孩在上海2：项链密码
姚婷婷,谁的青春不迷茫
姚宇,毕业那年
姚宇,毕业那年分手季
姚言,月光恋
姜军,死亡笔记
姜国民,无价之宝
姜国民,魔卡行动
姜国民,笑功震武林
姜文,一步之遥
姜颖,有一天
姬棹馨,嘿·店
姬雨,筷仙
威尔·古勒,安妮：纽约奇缘
威廉·布伦特·贝尔,灵偶契约
娄烨,浮城谜事
娄烨,推拿
娄烨,小鱼吃大鱼
孔令政,第七谎言
孔令晨,你听我跟你说
孔令晨,201314
孔凡羽,天空的微笑
孔玟燕,五月天追梦3DNA
孔玟燕,逆转胜
孔笙,北川重生
孙亮,判我有罪
孙健君,天机·富春山居图
孙友树,功夫四侠
孙周,我愿意
孙周,不可思异
孙宏凯,恭喜发财之谈钱说爱
孙宪,天赐
孙小光,致命请柬
孙浩洋,角落里的阳光
孙渤涵,一座城池
孙爱国,妈妈让我再爱你一次
孙皓,坏蛋必须死
孙立军,兔侠之青黎传说
孙立军,兔侠传奇
孙立军,终极大冒险
孙虹,飞鱼秀
孙达,房不剩防
孙达,4B青年之4楼B座
孙铁,决不饶恕
孙铁,近距离击杀
孙雷,激战黎明
孟卫国,斗茶
孟卫国,蹴鞠
孟奇,咱们是亲人
孟文龙,小蚂蚁之环球大冒险
孟艳,青春真好
季伟,索马里真相
宁敬武,电梯惊魂
宁敬武,墓穴迷城
宁敬武,阳光留守
宁敬武,毛丰美
宁敬武,为了这片土地
宁敬武,我最好的朋友江竹筠
宁浩,黄金大劫案
宁浩,心花路放
宁浩,无人区
宁海强,天河
宁海强,目标战
宁海强,雷锋在1959
宁海强,歼十出击
宁海强,百团大战
宁瀛,功夫侠
宁瀛,浪漫天降
宁瀛,警察日记
安东尼·福奎阿,铁拳
安东尼·福奎阿,铁拳
安东尼·福奎阿,奥林匹斯的陷落
安东尼·罗素,美国队长3：英雄内战
安东尼·罗素,美国队长3
安兴伟,布基兰
安兵基,笔仙Ⅲ
安兵基,笔仙
安兵基,笔仙Ⅱ
安吉丽娜·朱莉,坚不可摧
安尚勋,我是证人
安德烈·康查洛夫斯基,胡桃夹子：魔境冒险
安德里亚·阿诺德,呼啸山庄
安德鲁·斯坦顿,海底总动员2：多莉去哪儿
安德鲁·斯坦顿,海底总动员2：寻找多莉
安德鲁·斯坦顿,异星战场
安德鲁·韦特,深海挑战
安战军,黑暗中的救赎
安战军,惊沙
安战军,逆袭
安战军,北京时间
安格斯·麦克莱恩,海底总动员2：多莉去哪儿
安泉,家亦有道
安澜,朱程浴血冀鲁豫
安澜,诱狼
安澜,东方欲晓
安竹间,杜拉拉追婚记
安迪·沃卓斯基,木星上行
安迪·沃卓斯基,云图
宋占涛,无敌小飞猪
宋奇,破五
宋奇,当流星划过天际
宋岳峰,龙之谷：破晓奇兵
宋岳峰,精灵王座
宋方,记忆望着我
宋江波,国酒
宋江波,王进喜
宋胤熹,我是谁2015
宋胤熹,禁忌游戏之迷藏
宋豪辉,求爱嫁期
宋迪,新步步惊心
宋迪,一路惊喜
宋金笑,稍安勿躁
宋阳,疯狂的导演
宮元宏彰,海贼王2016剧场版
小岛正幸,藏獒多吉
小徐,特工艾米拉
尔冬升,大魔术师
尔冬升,我是路人甲
尔冬升,三少爷的剑
尚敬,武林外传
