directorrate,castrate1,castrate2,theme1,theme2,theme3,year,month,day,boxtotal,product1,product2,product3,totalBox14,isHoliday
574,59,415418,41,0,0,2013,12,28,229,0,0,0,215,1
0,9,285269,41,0,0,2013,12,28,2642,1,0,0,2558,1
3747,27,424203,40,42,44,2013,12,31,3481,0,0,0,3354,1
2125,24,520396,46,0,0,2014,1,1,54,10,23,0,47,1
18082,6,24347,45,0,0,2014,1,5,232,19,0,0,224,0
0,22,616924,37,44,0,2014,1,7,13875,1,0,0,10747,0
113,8,135464,46,0,0,2014,1,10,14,0,0,0,9,0
525,12,27239,46,0,0,2014,1,10,12,54,0,0,10,0
24796,81,906865,42,0,0,2014,1,17,933,74,0,0,841,0
1637291,103,683358,30,46,0,2014,1,17,114,0,0,0,107,0
842425,21,458198,42,44,0,2014,1,17,16064,1,13,0,15540,0
631689,10,15069,45,0,0,2014,1,21,105,0,0,0,76,1
5783,29,482607,34,0,0,2014,1,24,39,0,0,0,35,1
0,11,151236,41,0,0,2014,1,25,440,1,0,0,433,1
535665,63,577787,22,44,46,2014,1,31,104560,11,62,87,86457,1
4645,11,189843,45,0,0,2014,1,31,40,0,0,0,36,1
959976,101,676938,30,45,0,2014,2,2,2962,0,0,0,2797,1
44822,8,363949,46,0,0,2014,2,14,31,0,0,0,28,0
614051,14,215181,38,42,0,2014,2,21,538,77,0,0,501,0
2299,27,208723,28,35,43,2014,2,21,39,1,0,0,35,0
4568,11,65285,44,0,0,2014,2,28,74,70,0,0,63,0
176691,14,534117,37,44,0,2014,2,28,31487,1,0,0,28441,0
54682,17,38105,45,46,0,2014,3,7,38,0,0,0,36,0
985974,58,451807,44,45,0,2014,3,7,5646,108,0,0,5432,0
58974,25,232292,22,30,45,2014,3,14,609,12,78,0,585,0
100110,13,401082,38,44,0,2014,3,14,41168,1,65,0,31410,0
830884,8,581261,37,0,0,2014,3,17,7485,111,0,0,6567,0
144325,3,2904,45,46,0,2014,3,28,31,1,0,0,31,1
0,22,664964,46,0,0,2014,3,28,3,0,0,0,3,0
0,14,885896,41,0,0,2014,3,28,12160,1,65,0,11403,1
486989,19,561675,29,44,0,2014,3,28,4711,1,0,0,4663,1
0,39,1681126,37,40,44,2014,4,4,73388,1,14,53,54916,1
2550328,30,560399,24,33,45,2014,4,11,273,1,58,0,262,0
5527,11,183902,45,46,0,2014,4,11,76,0,0,0,73,0
19953,2,36235,45,0,0,2014,4,11,23,79,0,0,22,0
235948,8,339266,40,44,0,2014,4,11,2536,1,0,0,2497,0
777524,37,272088,39,45,0,2014,4,18,884,138,0,0,857,0
186979,40,609948,46,0,0,2014,4,18,89,79,0,0,127,1
2483718,13,1167548,37,44,0,2014,4,18,12586,1,102,0,11734,0
2074,14,209176,41,0,0,2014,5,1,2891,1,0,0,2230,1
22538,18,145862,42,0,0,2014,5,7,562,74,138,0,500,0
3232,23,187134,46,0,0,2014,5,8,92,28,0,0,88,0
622,2,4075,35,46,0,2014,5,9,19,112,0,0,16,0
161473,2,114355,38,42,44,2014,5,9,3244,1,32,0,3142,0
0,15,603055,43,0,0,2014,5,14,3,3,82,0,23,0
2113,3,23347,43,0,0,2014,5,15,2,1,0,0,2,0
171265,0,0,31,0,0,2014,5,16,1101,0,0,0,9,0
22416,22,191271,46,0,0,2014,5,16,382,0,0,0,368,0
970,28,249101,46,0,0,2014,5,16,47,109,0,0,43,0
668,9,166036,36,42,0,2014,5,23,243,74,0,0,229,1
14304,20,55801,26,34,0,2014,5,23,107,1,20,0,7,1
1366404,21,961169,37,40,44,2014,5,23,72296,1,4,53,59952,1
82854,6,70051,46,0,0,2014,5,27,5,0,0,0,4,1
